SR_NO,sentence_list,np_list,vp_list,ner_rich,label
665,Most of all there can be no AI without data,0,0,0,TRAIN
666,Data is the fuel for the modern era,3,0,0,TRAIN
667,The deeper larger and more complex our data stores and streams become the more critical the role of AI becomes,3,2,1,TRAIN
668,Using data AI is helping organizations accelerate outcomes drive business growth and make smarter more accurate decisions across an endless number of industries and use cases,5,5,1,TRAIN
669,USEFUL DEFINITIONS BUSINESS INTELLIGENCE BI involves the process of collecting data from many sources and preparing it for Business Analytics,0,3,0,TRAIN
670,BUSINESS ANALYTICS BA is the process of describing past performance to gain insights of the data through analysis reporting queries or visualizations,6,1,1,TRAIN
671,ARTIFICIAL INTELLIGENCE AI is the development of computer systems able to perform tasks normally requiring human intelligence such as visual perception speech recognition and translation between languages etc,3,1,1,TRAIN
672,MACHINE LEARNING ML is a sub field of AI that provides systems the ability to learn from data and improve from experience without being explicitly programmed,4,4,1,TRAIN
673,DEEP LEARNING DL is a type of ML built on a deep hierarchy of interconnected “neural network” layers with ability to learn key “features” from data provided,5,4,1,TRAIN
674,3 DELL TECHNOLOGIES WHITE PAPER IMPORTANCE OF AI TO LIFE — AND BUSINESS — AND PROCESSES Let’s get aspirational for a moment How might AI transform the way people live and work,3,4,1,TRAIN
675,The possibilities are as endless as the infinite volumes and varieties of data being created all around us at every moment,1,2,1,TRAIN
676,Much like the printing press which unlocked the vaults of human knowledge freeing it from the libraries of monasteries and placing it in the hands of the masses igniting an era of unprecedented creativity and innovation that laid the foundation for the modern age AI too will usher in an era of explosive innovation igniting the next major epoch of human experience,9,6,1,TRAIN
677,This new epoch will be driven by the realization that the value of AI is less about artificial intelligence that replaces human experience and more about augmenting human intelligence freeing humans to focus on higher order challenges and helping us make better decisions faster,7,6,1,TRAIN
678,This human AI partnership will unleash creativity and innovation not possible by humans or machines alone,3,0,0,TRAIN
679,This is why studies suggest that AI will create more jobs than it eliminates and organizations of all kinds will benefit from these new human machine partnerships,1,3,1,TRAIN
680,AI BENEFITS The driving force behind AI is its power to accelerate human progress from the everyday to the life altering,5,1,1,TRAIN
681,AI has broad applicability spanning both public and private sectors and markets of all kinds from industrial to medical from education to finance,3,1,1,TRAIN
682,Here is a sampling of the impacts AI is already having • Bionic vision The Computer Vision Group at CSIRO Commonwealth Scientific and Industrial Research Organisation has developed software for a bionic vision solution designed to restore sight for people with profound vision loss,7,3,1,TRAIN
683,This life changing advance uses large scale image datasets to learn to recognize more types of images,2,3,1,TRAIN
684,• Safer surgeries A study that involved 379 orthopedic patients found that AI assisted robotic procedures resulted in five times fewer complications compared to surgeons operating alone,2,5,1,TRAIN
685,• Better dressed less stressed human beings Stitch Fix uses AI to enhance the company’s personal styling services,3,1,1,TRAIN
686,• Enhanced credit card fraud protection Mastercard uses machine learning algorithms to examine 160 million transactions per hour by applying 1 9 million rules each transaction — all in a matter of milliseconds,9,4,1,TRAIN
687,• Better identity verification Mastercard goes beyond facial recognition to learn motions unique to each user and determine if “you’re really you” by for example how you hold your phone while using it,7,4,1,TRAIN
688,AI CHALLENGES As with every new technology AI comes with unique challenges especially in the realm of data and compute,2,1,1,TRAIN
689,Data is the raw material of AI it feeds the systems that glean the insights and make the predictions and the more data the more accurate AI can become,2,2,1,TRAIN
690,But all data is not good data,0,0,0,TRAIN
691,Data is often messy — it’s duplicated incomplete geo biased and requires data engineering — so simplifying data acquisition management access and protection are all critical,6,4,1,TRAIN
692,It’s all about separating the signal from the noise and ensuring you have the right skills tools and use cases in place to do so,3,3,1,TRAIN
693,According to IDC’s findings the amount of data created and replicated experienced unusually high growth in 2020 due to the dramatic increase in the number of people working learning and entertaining themselves from home,5,5,1,TRAIN
694,However less than 2 percent of this new data was saved and retained into 2021,1,1,1,TRAIN
695,"Source IDC ""Data Creation and Replication Will Grow at a Faster Rate than Installed Storage Capacity According to the IDC Global DataSphere and StorageSphere Forecasts ” March 24 2021 https www csiro au en News News releases 2017 CSIRO powers bionic vision research with new Dell EMC https www forbes com sites bernardmarr 2018 07 27 how is ai used in healthcare 5 powerful real world examples that show the latest advances 6870bfa05dfb https www forbes com sites bernardmarr 2018 05 25 stitch fix the amazing use case of using artificial intelligence in fashion retail 352fd1743292 https www dellemc com en us solutions artificial intelligence index htm overlay https www emc com collateral whitepaper mastercard fighting fraud the smart way pdf https www dellemc com en us solutions artificial intelligence index htm overlay https www emc com collateral whitepaper mastercard fighting fraud the smart way pdf https www idc com getdoc jsp containerId prUS47560321 https www idc com getdoc jsp containerId prUS47560321 https www idc com getdoc jsp containerId prUS47560321 https www idc com getdoc jsp containerId prUS47560321 https www idc com getdoc jsp containerId prUS47560321 4 DELL TECHNOLOGIES WHITE PAPER In addressing your data challenges keep these points in mind • Data is everywhere but not always where you need it so it’s becoming more and more essential in the age of IoT for example to move compute capabilities to where the data resides",11,8,1,TRAIN
696,• Data is overwhelming in that it touches every part of modern business and is endlessly and exponentially growing,4,1,1,TRAIN
697,This makes it all the more important to identify specific areas in which to begin AI implementations and ensure those implementations allow you the ability to seamlessly scale as your AI focus grows,2,4,1,TRAIN
698,Further massive data sets and modern algorithms require powerful compute and cost efficient and performance optimized storage,3,0,0,TRAIN
699,These solutions are often accelerated with graphics processing units GPUs which are efficient at processing large blocks of data in parallel and field programmable gate arrays FPGAs a type of semiconductor that can be programmed or reprogrammed after manufacturing,4,3,1,TRAIN
700,However where analytics operations are executed varies based on workload,1,2,1,TRAIN
701,• For real time decisions the high cost of transport and the need to minimize latency means that being able to move the algorithms and the compute to the data is essential for success,6,3,1,TRAIN
702,• For workloads that require direct access to massive amounts of data across a variety of data sources moving data to compute makes sense,4,3,1,TRAIN
703,• Sometimes it’s a combination of the two where data can be analyzed and acted on against locally but still benefit from federated insights across multiple similar locations,2,2,1,TRAIN
704,In short all three of the core elements algorithms data compute need to be fluid and movable,1,1,1,TRAIN
705,We must be able to take any two of these key elements to the other depending on the use case where it matters and when it matters to the business,3,2,1,TRAIN
706,OPPORTUNITIES AND USE CASES So how do you in your current situation start doing more with AI and ML technologies to influence the future arc of your organization,5,1,1,TRAIN
707,The first step is identifying a use case or a series of use cases that will help deliver the outcomes you have in mind,5,3,1,TRAIN
708,Are there “adjacent spaces” you might do well to explore,1,1,1,TRAIN
709,That is concurrent business models somewhat removed from your own but with service synergies and demographic or logistical overlaps that might lead you to tap into vast new revenue streams,4,3,1,TRAIN
710,What new product and service innovation secrets are buried inside customer feedback data,5,1,1,TRAIN
711,AI and ML may help you answer those questions,0,2,0,TRAIN
712,RECOGNIZE THAT IT’S A JOURNEY Data is at the heart of the AI journey,2,0,0,TRAIN
713,Data is fundamental for AI and its subfields including machine learning and deep learning,3,2,1,TRAIN
714,Given this reality the AI journey begins with the consolidation of data for analytics and then builds from there creating analytics based applications to drive the intelligence modeling and inferencing that is driven by data,4,4,1,TRAIN
715,While the path to AI is different for all organizations here are some common steps in the AI journey • Outline the business goals and align the company’s AI strategy to define the use case s • Determine data availability and prepare the data for AI analysis and action • Understand and integrate infrastructure requirements • Determine steps to build models with validation methodologies • Establish tracking tools and systems • Adapt and scale the strategy over time 5 DELL TECHNOLOGIES WHITE PAPER TIPS FROM IDC Based on a study of the characteristics of leading IT organizations IDC offers these recommendations for organizations that want to create a stable foundation for unlocking data capital • Embrace autonomous infrastructure that will eliminate tedious maintenance and management tasks and allow IT staff to focus on more strategic initiatives,28,10,1,TRAIN
716,• Invest in modernized infrastructure that enables your organization to capitalize on the value of your data,3,2,1,TRAIN
717,• Implement software defined networking capabilities to automate the provisioning of workloads across internal colocation and cloud data centers,4,1,1,TRAIN
718,• Standardize on a single management platform or enable integration between multiple platforms to improve collaboration and oversight among organizational silos 1 A COMPREHENSIVE PORTFOLIO As you determine your best next steps on the journey to adopting AI solutions modern infrastructure is an imperative — and Dell Technologies delivers,9,2,1,TRAIN
719,By offering the industry’s most comprehensive portfolio of AI capable systems servers storage solutions and services Dell Technologies enables your organization to take control of data to accelerate time to faster better deeper insights,7,3,1,TRAIN
720,With the intelligent technologies in modern infrastructures with AI capabilities and with corresponding AI services Dell Technologies makes AI adoption faster easier and more collaborative,3,2,1,TRAIN
721,Dell Technologies gives you a choice of flexible and scalable solutions small and large opening the AI market to organizations of every size,3,2,1,TRAIN
722,Purpose built workstations servers storage and Dell EMC Ready Solutions for AI provide opportunities to address AI focused use cases that advance business goals,4,2,1,TRAIN
723,For years Dell Technologies has been the undisputed leader in data management data protection data storage and compute — the infrastructure building blocks necessary to store protect and execute against the valuable data that is the fuel for AI,11,1,1,TRAIN
724,We continue to aggressively innovate in these areas,0,1,0,TRAIN
725,In addition we are ourselves an early adopter and advisor when it comes to AI strategy and best practices,4,1,1,TRAIN
726,CUSTOMER RESULTS Here are a few examples of the ways in which Dell Technologies customers are capitalizing on AI solutions to drive their businesses forward,0,3,0,TRAIN
727,1 IDC “Emerging Technology and Modern IT The Key to Unlocking Your Data Capital ” an IDC white paper sponsored by Dell Technologies and Intel 2018,1,1,1,TRAIN
728,Explore Moor Insights Strategy’s perspective on how Dell EMC Ready Solutions for AI take the guesswork out of AI initiatives — while decreasing time to market and time to learning,4,4,1,TRAIN
729,Watch the video,1,0,0,TRAIN
730,https cdn2 hubspot net hubfs 2295439 Blog Blog 20Downloads IDC The 20Key 20to 20Unlocking 20Your 20Data 20Capital pdf https www youtube com watch v xL4rvQ3uYwk feature youtu be https www youtube com watch v xL4rvQ3uYwk feature youtu be 6 DELL TECHNOLOGIES WHITE PAPER To learn more visit DellTechnologies com AI,7,0,0,TRAIN
731,IMPROVE OPERATIONAL EFFICIENCIES The best time to solve a problem is before it happens,3,1,1,TRAIN
732,That’s a goal of Dell SupportAssist that is enabled by AI,1,1,1,TRAIN
733,This automated proactive and predictive technology helps you reduce your steps and time to resolution often detecting issues well before they become a crisis,4,5,1,TRAIN
734,Using real time data and predictive modeling for accelerating time to resolution Dell SupportAssist actively monitors the health of your IT infrastructure,4,3,1,TRAIN
735,If an issue is detected Support Assist notifies your organization and Dell Technologies,2,1,1,TRAIN
736,In some cases SupportAssist can even predict a failure and resolve the issue before a failure occurs,2,3,1,TRAIN
737,SupportAssist is available to all customers at no additional charge,1,0,0,TRAIN
738,It’s included with all support plans but features vary based on service level agreements,4,2,1,TRAIN
739,Explore Dell SupportAssist,0,0,0,TRAIN
740,TRANSFORM DECISION MAKING Zenuity a joint venture of Volvo Cars and Veoneer is using AI to develop advanced driver assist systems and autonomous driving technologies that promise to take vehicle safety systems to a new level,4,4,1,TRAIN
741,The company is expected to have its first driver assistance products available for sale by 2019 with autonomous driving technologies following shortly thereafter 2 Zenuity’s entire end to end solution is managed by solutions from Dell Technologies,4,3,1,TRAIN
742,Read the case study,2,0,0,TRAIN
743,DISCOVER NEW REVENUE STREAMS TO GROW THE BUSINESS Dell Technologies solutions for AI don’t just speed set up time for data scientists they also provide faster deeper AI insights — in some cases instantaneous insights,3,2,1,TRAIN
744,For example a Dell Technologies white paper on fraud detection notes that Mastercard completes 165 million financial transactions per hour while employing a model that verifies each transaction against 1 9 million rules to protect customers from fraud in real time using Dell Technologies machine learning with Hadoop,9,5,1,TRAIN
745,Drawing on this expertise in data analytics Mastercard launched Mastercard Advisors — an entirely new business and new revenue stream based on AI and data analytics solutions,4,3,1,TRAIN
746,KEY TAKEAWAYS Today AI is fundamentally transforming business by enabling organizations to deliver faster better deeper and unforeseen insights that streamline and automate processes that drive operational efficiencies deliver the speed and accuracy of insights to transform decision making and drive the results revenues and customer experiences that deliver strong business growth,9,4,1,TRAIN
747,Organizations that capitalize fully on the AI opportunity will be positioned for greater competitiveness and success in the era of the digitally driven enterprise,5,2,1,TRAIN
748,If you’re on or about to begin your journey to AI Dell Technologies is an ideal partner,3,1,1,TRAIN
749,Dell Technologies provides the expertise along with a broad innovative portfolio of technologies to deliver the data driven solutions that underpin successful AI implementations,2,2,1,TRAIN
750,Organizations right now are using the insights from data and the power of Dell Technologies AI products and solutions to differentiate themselves from the competition,2,1,1,TRAIN
751,2 Volvo Cars news release “Volvo Cars and Autoliv announce the launch of Zenuity ” January 03 2017,4,0,0,TRAIN
752,A study by Moor Insights Strategy concludes that Dell Technologies with its breadth of solutions and extensive expertise is “a very good partner for enterprise AI ” Read the white paper,6,1,1,TRAIN
753,http DellTechnologies com AI https www dell com en us work learn supportassist https www dell com en us work learn supportassist https www dell com en us work learn supportassist https www emc com collateral solution overview zenuity case study pdf https www emc com collateral whitepaper mastercard fighting fraud the smart way pdf https www media volvocars com global en gb media pressreleases 202044 volvo cars and autoliv announce the launch of zenuity http www moorinsightsstrategy com research paper dell technologies ready for artificial intelligence leadership http www moorinsightsstrategy com research paper dell technologies ready for artificial intelligence leadership The rise of AI The making of an AI strategy let the journey begin Why AI,8,1,1,TRAIN
754,Why now,0,0,0,TRAIN
755,Importance of AI to life — and business — and processes AI benefits AI challenges Opportunities and use cases Recognize that it’s a journey A comprehensive portfolio Customer results Key takeaways,8,2,1,TRAIN
756,Clinical natural language processing Unearthing deeper oncology insights by mining unstructured medical notes optum com Anne Marie Guerra Currie PhD Director Data Science Bertrand Lefebvre PhD Principal Data Scientist Kazuki Shintani MS Principal Data Scientist Tonnam Balankura PhD Sr Data Scientist Oncology Clinical natural language processing Unearthing deeper oncology insights by mining unstructured medical notes Page 2optum com We surface this critical and detailed oncology data by leveraging our proprietary natural language processing NLP system that performs automated information extraction on the free text medical records repository within the Optum electronic health record EHR data asset to provide key oncology related insights to our clients in an easy to use format,15,4,1,TRAIN
757,Our oncology focused NLP system is designed to identify the positive occurrences of desired oncology concepts such as cancer type TNM stage and biomarkers as well as enable the exclusion of semantic contexts that are not desired oncology contexts,8,2,1,TRAIN
758,For example if the goal is to identify patients with prostate cancer the Optum NLP system identifies different semantic contexts and appropriately extracts the desired contexts into a structured format,7,2,1,TRAIN
759,The concepts are then able to be easily searched by our clients,0,1,0,TRAIN
760,Some examples of the contexts that occur within the notes are shown in Table 1 Table 1,0,2,0,TRAIN
761,Sample of contexts for cancer statements Sample text Concept “Patient has stage II prostate cancer” Patient positive for prostate cancer “Negative for prostate cancer” Patient negative for prostate cancer “ If prostate cancer is found patient may require additional imaging” Hypothetical prostate cancer situation “Might be prostate cancer” Hedged prostate cancer statement “ Prostate cancer is a common cancer among males” Prostate cancer not relevant to patient Optum oncology data initiatives include enriching our data by extracting essential information from the oncology patient’s medical records and making it usable for researchers,16,6,1,TRAIN
762,Specific oncology concepts important in understanding the progression of the disease are often not available in structured formats particularly the tumor node and metastasis TNM values stage information and biomarkers,7,0,0,TRAIN
763,patients who have at least one solid tumor ICD code2M Within the Optum EHR data source there are 2 million patients who have at least one solid tumor ICD code,4,0,0,TRAIN
764,Manually reviewing hundreds of millions of documents and manually extracting clinical data for research is not a scalable approach,2,2,1,TRAIN
765,Our NLP system offers an automated solution for providing insights from a large collection of medical notes that continues to grow each day,4,3,1,TRAIN
766,Page 3optum com Clinical natural language processing Unearthing deeper oncology insights by mining unstructured medical notes Sentence “Left breast cancer stage T1b N1mi M0 ” Entity tagging Relation linking has direction has stage Frame cancer Cancer breast Direction left Stage tnm T1b N1mi M0 Entity relation frame extraction Left stage tnmdirection cancer stage tnmdirection cancer breast cancer stage T1b N1mi M0 Left breast cancer stage T1b N1mi M0 Information extraction process Entities relations and frames As the NLP system processes the clinical notes data our trained models extract relevant entities in the text and the relationships between them using three approaches Example A shows the entity relations and frame extraction,22,9,1,TRAIN
767,Individual entities are tagged or labeled and linked to one another via relations,0,2,0,TRAIN
768,Relation extraction links one tag to another tag,3,1,1,TRAIN
769,In Example A “cancer” tag links to “direction” and “stage tnm” tags,2,2,1,TRAIN
770,Frame extraction groups relations originating from the same parent concept into a structure that is more easily consumable as table like data,4,1,1,TRAIN
771,The frame is a logical set of semantic units and the frame for the cancer stage context is shown extracted into table format in Example A,3,2,1,TRAIN
772,1 Entity extractionThe extraction of a concept or entity represented by lexical units or phrases in the free text,4,1,1,TRAIN
773,Relation extraction The extraction of the relationships between entities 2 3 Frame extractionThe extraction of the logical semantic group of lexical units and the collection of any relevant relations,4,1,1,TRAIN
774,Example A,1,0,0,TRAIN
775,Entity relation frame tagging and extraction Page 4optum com Clinical natural language processing Unearthing deeper oncology insights by mining unstructured medical notes Modeling approach The Optum oncology NLP system leverages best practices in data science and automation,12,4,1,TRAIN
776,Our sophisticated system goes beyond term matching and rules based approaches by incorporating machine learning and deep learning in order to ensure the correct identification of the desired oncology context,6,5,1,TRAIN
777,The advantage of leveraging supervised machine learning models is the ability to accurately identify the appropriate contexts in an automated fashion over highly variable text,5,4,1,TRAIN
778,Our supervised machine learning models are trained to identify broader patterns that are not explicitly and manually created by a human as a rule but instead the machine learns from a sample of labeled data that will then enable the system to generalize to relevant contexts,5,5,1,TRAIN
779,Our models are evaluated against a held out annotated test set which the models has not seen before,2,2,1,TRAIN
780,The results of this test help ensure we are not overfitting to the training data and that the model will remain reliably accurate with new data,2,3,1,TRAIN
781,Annotation design and gold standard data development The thoughtful crafting and designing of an annotation scheme and appropriate sampling of notes to annotate are critical to ensure high performing NLP models,7,3,1,TRAIN
782,The annotation design and sampling methodology is systematically developed with NLP data scientists specialized in the field of clinical NLP in close consultation with clinical experts oncologists oncology clinicians pharmacists molecular biologists medical informaticists and other physicians,6,3,1,TRAIN
783,During the annotation design stage the team carefully and thoughtfully outlines the entities and relations to annotate and extract,5,1,1,TRAIN
784,This design focuses on both the clinical context as well as the generalizability of the concept space to ensure scalability and extensibility of the NLP approach for our overall data enrichment,9,2,1,TRAIN
785,Our annotation guides are iteratively improved over time and changes are tracked and reviewed in version control to ensure consistency and reliability of our process,7,2,1,TRAIN
786,An iterative and careful review is conducted on the annotation design by a team of diverse clinical and data science subject matter experts for clinical content as well as for data science design structure,9,1,1,TRAIN
787,Once the annotation design and the random sampling methodology are refined a random sample of data is drawn and additional refinements may be made to the specifications during the annotation process,6,4,1,TRAIN
788,Each note in the sample is double annotated by two annotators and any conflicts are resolved in a third review by a curator,3,1,1,TRAIN
789,This process occurs with each document in our sample,2,1,1,TRAIN
790,The sample is then subdivided into the subsets of train validation and test,2,2,1,TRAIN
791,Once models are finalized these models are run at scale in a distributed manner on our collection of notes,2,3,1,TRAIN
792,Extracted entities are normalized in order to reduce the variability of the output and to facilitate analysis and whenever possible linked to controlled vocabularies and ontologies,5,3,1,TRAIN
793,Annotation Curation Model Development Sampling Gold Standard Production Models EHR data Clinical Notes Output Models promoted to production Annotation Guide Data Exploration Requirements 11000 Optum Circle Eden Prairie MN 55344 Optum® is a registered trademark of Optum Inc in the U S and other jurisdictions,2,2,1,TRAIN
794,All other brand or product names are the property of their respective owners,4,0,0,TRAIN
795,Because we are continuously improving our products and services Optum reserves the right to change specifications without prior notice,1,2,1,TRAIN
796,Optum is an equal opportunity employer,2,0,0,TRAIN
797,© 2020 Optum Inc All rights reserved,1,1,1,TRAIN
798,WF2202949 04 20 optum com Figure 1,1,0,0,TRAIN
799,Model development and production process Benefits Results The advantages of our rigorous approach and combination of techniques is scalability comprehensive extraction and extraction that is methodically consistent and reliable,9,1,1,TRAIN
800,Overall the combination of rules traditional machine learning and deep learning techniques leads to effective and highly accurate results,3,2,1,TRAIN
801,The extraction results for specific oncology concepts for cancer stage and TNM are consistently above 90 precision and all 58 biomarkers in our product are above 80 precision,6,0,0,TRAIN
802,These high quality results allow our clients to be confident that our data is robust enough for their research purposes,2,1,1,TRAIN
803,Clinical natural language processing Unearthing deeper oncology insights by mining unstructured medical notes,4,0,0,TRAIN
804,1 Think Local How to Migrate Intelligence from the Cloud to Embedded Devices at the Edge Chris Shore Director of Embedded Solutions White Paper For the rapidly expanding Internet of Things “Think Local Act Global” is a guiding principle,1,3,1,TRAIN
805,Traditionally decision making has been concentrated in the cloud at the centre moving all the data and intelligence inwards,5,1,1,TRAIN
806,This places huge strain on the technical and commercial model of the network,2,1,1,TRAIN
807,In the future we need to deliberately shift much of the “thinking” to the e g of the network leaving the central systems to make longer term strategic decisions based on aggregation of data trends and patterns,3,6,1,TRAIN
808,In this paper we discuss how Arm and its partners are enabling a step change increase in e g compute capability whether that’s tiny microcontrollers or multi core gateways,5,1,1,TRAIN
809,Rather than a ‘one size fits all’ approach we provide a unique combination of compute scalability power efficiency determinism and interface options,9,2,1,TRAIN
810,This is making it possible to do the tactical action taking quickly and autonomously away from the centre relieving pressure on bandwidth increasing security reducing latency and improving reliability,6,5,1,TRAIN
811,2 Introduction We have seen huge growth in computing over the last 30 or so years moving through many stages in that time,2,3,1,TRAIN
812,30 years ago compute workstations were special,1,0,0,TRAIN
813,Your company might have had one your school might have had one if you were lucky you might have had one on your desk,3,0,0,TRAIN
814,If you were a really early adopter you might have had one at home,2,0,0,TRAIN
815,A small number of powerful computers were shared amongst many users,1,1,1,TRAIN
816,Next came the personal computing era in which all of us had a computer on our desks and many of us had one at home,4,1,1,TRAIN
817,After that it was the age of mobile computing in which each one of us carries in our pocket a compute device more powerful than anything of even ten years earlier,6,1,1,TRAIN
818,Finally we reach the era of connected computing in which all these devices e g nodes gateways and servers are connected and share information across the world,5,3,1,TRAIN
819,From only a relatively small number of computers 30 years ago we now live in a world in which computing devices are everywhere,2,1,1,TRAIN
820,And increasingly they derive their value from the fact that they are connected into a huge network of intelligence,4,1,1,TRAIN
821,The commercial possibilities are endless,0,1,0,TRAIN
822,However scaling is becoming a problem,1,1,1,TRAIN
823,A Gartner Special Report predicts that “a typical family home could contain more than 500 smart devices by 2022 ” That’s a lot of devices to connect secure and manage,5,3,1,TRAIN
824,Arm’s silicon partners have shipped over 100 billion chips since we started back in 1990,1,2,1,TRAIN
825,50 billion of those have been in the last four years,0,0,0,TRAIN
826,We expect another 100 billion in the next four years,0,1,0,TRAIN
827,Figure 1 Market trends and the acceleration of technology deployment Much of this staggering growth will be in IoT,6,1,1,TRAIN
828,These devices derive much of their value from being connected to something central through which they provide a service to users and suppliers,3,2,1,TRAIN
829,3 Where is the intelligence,1,0,0,TRAIN
830,A,0,0,0,TRAIN
831,The current assumptions Currently the assumption is that the intelligence lies in the cloud at the centre of the network,5,1,1,TRAIN
832,This has the advantage of concentrating all the data in one place but it also comes with some significant and growing problems,2,3,1,TRAIN
833,Fundamentally it means that we have to spend time energy and money transmitting data all the way from the e g to the centre for analysis,6,2,1,TRAIN
834,And then transmitting analysis and actions back out to the edge,2,1,1,TRAIN
835,So what we have now are systems in which all data is shipped to the cloud,1,1,1,TRAIN
836,Transmitting all this data to the cloud for processing and then returning the actions all the way to the e g takes too long costs too much compromises privacy uses power and doesn’t scale,6,4,1,TRAIN
837,The founder of an IoT start up recently said “We like to say that the cloud is a way to scale AI but to me it’s a roadblock to AI,6,2,1,TRAIN
838,There is no cloud that can digest this much data ” Much better would be to build the intelligence into the gateway or into the e g device itself,3,2,1,TRAIN
839,This reduces latency improves privacy and security and reduces bandwidth,3,2,1,TRAIN
840,Then the data sent to the server becomes even more valuable to the service provider as only high quality information derived from the data is sent to the centre where it can be aggregated and transformed into real business value,10,3,1,TRAIN
841,B,0,0,0,TRAIN
842,The benefits of e g compute Moving intelligence to the e g offers many benefits,2,1,1,TRAIN
843,It improves local autonomy increases security and privacy and enhances safety,4,2,1,TRAIN
844,It also allows us to reduce energy consumption a few millwatts per device across a trillion devices is a lot of energy reduce latency and reduce bandwidth requirements,4,2,1,TRAIN
845,There are significant benefits to be had,0,0,0,TRAIN
846,And as a solution it scales to large numbers and large networks much better,1,1,1,TRAIN
847,Figure 2 Requirements for intelligent e g computing 4 Think local So here is a new principle “Think Local”,2,1,1,TRAIN
848,Do the thinking at the edge rather than at the centre,2,1,1,TRAIN
849,However we still have to work within the usual constraints that apply at the e g of the system devices need to be energy efficient cost effective often battery powered and usually physically small,2,4,1,TRAIN
850,Arm has traditionally operated in this area and much of our technology directly addresses these constraints helping to build powerful efficient intelligent e g devices,2,4,1,TRAIN
851,Figure 3 Benefits of e g compute Figure 4 “Think local” concept that combines these key elements 5 Three key technologies that will impact moving intelligence to the e g are security digital signal processing DSP and Machine Learning,8,1,1,TRAIN
852,I will now go into detail about these technologies,1,1,1,TRAIN
853,A Anatomy of an embedded device A typical embedded device senses some inputs from its environment and actuates some control output,5,2,1,TRAIN
854,Within the system on chip SoC key IP blocks may include I O and analog interfaces specific to the application memory for code and data and of course a CPU to perform the necessary compute,7,2,1,TRAIN
855,Key design criteria are We have enough of the right kind of compute capability The device is power efficient The right support is available in terms of software IP RTOS middleware and development tools It implements an appropriate level of security Figure 5 How an embedded device senses inputs from its environment and actuates some control output Note that even without connectivity to an external system security is often still a critical component to protect the integrity and confidentiality of data and firmware and to control lifecycle management,23,3,1,TRAIN
856,Security may also offer protection to the manufacturer and supply chain to validate the authenticity of the device and ensure it’s not a counterfeit or cloned part,10,3,1,TRAIN
857,Connecting a device to external central systems adds a whole new level of complexity and affects the design criteria in many ways,4,3,1,TRAIN
858,6 B,0,0,0,TRAIN
859,Extending with connectivity When the device is connected securely to “the cloud” to enable an IoT “service” the cloud has to be able to “trust” the device and this makes the security requirements significantly more important,8,3,1,TRAIN
860,The service will be enabled by software running both on the device and in the cloud for example processing captured data locally on the device and sending information about “interesting” events or situations to the cloud where it can be turned into long term actionable insights,8,7,1,TRAIN
861,An IoT device also needs to be manageable this includes provisioning the device when if first connects to the cloud authenticating it when it communicates controlling updates and security patches and securely terminating its operation at the end of life,5,6,1,TRAIN
862,The physical connectivity needs suitable transport layer security to ensure that private data is kept private and to avoid all sorts of communication attacks such as man in the middle attacks,3,3,1,TRAIN
863,As you can see security requirements touch many parts of this design including identity connectivity and device lifecycle management,8,1,1,TRAIN
864,So we’ll look at security first,1,1,1,TRAIN
865,Increase security First let’s take a look at how Arm technology provides the foundation on which you can build a secure solution,6,3,1,TRAIN
866,A,0,0,0,TRAIN
867,Security architecture and IP Figure 6 Platform Security Architecture 7 The Platform Security Architecture or PSA was introduced by Arm in 2017 It is an open methodology for analyzing threats architecting secure designs and then implementing secure solutions,4,4,1,TRAIN
868,The analysis stage is very important,2,0,0,TRAIN
869,Not all security solutions are applicable to all situations,1,0,0,TRAIN
870,For instance a device which is not physically accessible may not require mitigation for physical security threats,4,1,1,TRAIN
871,In all cases the security solutions you adopt must be appropriate and proportionate to the threats that you identify,2,3,1,TRAIN
872,PSA talks about four main types of threat Physical Invasive and non invasive Software Buffer overflow interrupts and malware Communication Man in the middle weak RNG and code vulnerability Lifecycle Code downgrade ownership change over production and debug attack Figure 7 Four main types of threat Arm has hardware and software IP to address these four main threat types technologies like Arm TrustZone help to protect against software threats hardware IP like Arm CryptoCell helps protect against communication threats Arm Cortex M35P SecureCore processors and Arm CryptoIsland products help protect against physical attacks,17,5,1,TRAIN
873,Arm Kigen family of products helps protect against communication and mitigation attacks,3,1,1,TRAIN
874,You can find more details about these threats and the relevant IP on our website here,1,2,1,TRAIN
875,https www arm com why arm architecture platform security architecture https developer arm com technologies trustzone https www arm com why arm architecture platform security architecture 8 B,3,0,0,TRAIN
876,Arm secure foundations help design secure devices faster Arm secure foundations and Corstone foundation IP offer SoC designers a great solution to build secure designs faster,4,4,1,TRAIN
877,A range of secure foundations allows for constrained mainstream and rich embedded designs,4,2,1,TRAIN
878,Constrained designs are based around Cortex M microcontrollers mainstream designs incorporate multiple processors and rich designs use Cortex A processors for increased performance,2,6,1,TRAIN
879,Figure 8 Arm Secure Foundation The accompanying software packages include security RTOS and firmware support,6,2,1,TRAIN
880,Using these designs as a starting point can significantly reduce your design time and get your product to market more quickly,5,4,1,TRAIN
881,Optimized DSP functions Much of the intelligent behavior that we need to implement relies on having access to optimized software libraries particularly for functions like DSP and Neural Network acceleration,4,3,1,TRAIN
882,The two are very closely related,0,0,0,TRAIN
883,A Scalable DSP performance for e g devices In one sense all Arm processors are perfectly capable of executing any DSP algorithms,4,1,1,TRAIN
